stable_draw_id,advertised_jackpot_minor_units,jackpot_winner_count,rollover,multiplier,extra_draw_data,prize_tiers_json
powerball-1996-03-30,,,,,,[]
powerball-1996-04-03,,,,,,[]
powerball-1996-04-06,,,,,,[]
powerball-1996-04-10,,,,,,[]
powerball-1996-04-13,,,,,,[]
powerball-1996-04-17,,,,,,[]
powerball-1996-04-20,,,,,,[]
powerball-1996-04-24,,,,,,[]
powerball-1996-04-27,,,,,,[]
powerball-1996-05-01,,,,,,[]
powerball-1996-05-04,,,,,,[]
powerball-1996-05-08,,,,,,[]
powerball-1996-05-11,,,,,,[]
powerball-1996-05-15,,,,,,[]
powerball-1996-05-18,,,,,,[]
powerball-1996-05-22,,,,,,[]
powerball-1996-05-25,,,,,,[]
powerball-1996-05-29,,,,,,[]
powerball-1996-06-01,,,,,,[]
powerball-1996-06-05,,,,,,[]
powerball-1996-06-08,,,,,,[]
powerball-1996-06-12,,,,,,[]
powerball-1996-06-15,,,,,,[]
powerball-1996-06-19,,,,,,[]
powerball-1996-06-22,,,,,,[]
powerball-1996-06-26,,,,,,[]
powerball-1996-06-29,,,,,,[]
powerball-1996-07-03,,,,,,[]
powerball-1996-07-06,,,,,,[]
powerball-1996-07-10,,,,,,[]
powerball-1996-07-13,,,,,,[]
powerball-1996-07-17,,,,,,[]
powerball-1996-07-20,,,,,,[]
powerball-1996-07-24,,,,,,[]
powerball-1996-07-27,,,,,,[]
powerball-1996-07-31,,,,,,[]
powerball-1996-08-03,,,,,,[]
powerball-1996-08-07,,,,,,[]
powerball-1996-08-10,,,,,,[]
powerball-1996-08-14,,,,,,[]
powerball-1996-08-17,,,,,,[]
powerball-1996-08-21,,,,,,[]
powerball-1996-08-24,,,,,,[]
powerball-1996-08-28,,,,,,[]
powerball-1996-08-31,,,,,,[]
powerball-1996-09-04,,,,,,[]
powerball-1996-09-07,,,,,,[]
powerball-1996-09-11,,,,,,[]
powerball-1996-09-14,,,,,,[]
powerball-1996-09-18,,,,,,[]
powerball-1996-09-21,,,,,,[]
powerball-1996-09-25,,,,,,[]
powerball-1996-09-28,,,,,,[]
powerball-1996-10-02,,,,,,[]
powerball-1996-10-05,,,,,,[]
powerball-1996-10-09,,,,,,[]
powerball-1996-10-12,,,,,,[]
powerball-1996-10-16,,,,,,[]
powerball-1996-10-19,,,,,,[]
powerball-1996-10-23,,,,,,[]
powerball-1996-10-26,,,,,,[]
powerball-1996-10-30,,,,,,[]
powerball-1996-11-02,,,,,,[]
powerball-1996-11-06,,,,,,[]
powerball-1996-11-09,,,,,,[]
powerball-1996-11-13,,,,,,[]
powerball-1996-11-16,,,,,,[]
powerball-1996-11-20,,,,,,[]
powerball-1996-11-23,,,,,,[]
powerball-1996-11-27,,,,,,[]
powerball-1996-11-30,,,,,,[]
powerball-1996-12-04,,,,,,[]
powerball-1996-12-07,,,,,,[]
powerball-1996-12-11,,,,,,[]
powerball-1996-12-14,,,,,,[]
powerball-1996-12-18,,,,,,[]
powerball-1996-12-21,,,,,,[]
powerball-1996-12-25,,,,,,[]
powerball-1996-12-28,,,,,,[]
powerball-1997-01-01,,,,,,[]
powerball-1997-01-04,,,,,,[]
powerball-1997-01-08,,,,,,[]
powerball-1997-01-11,,,,,,[]
powerball-1997-01-15,,,,,,[]
powerball-1997-01-18,,,,,,[]
powerball-1997-01-22,,,,,,[]
powerball-1997-01-25,,,,,,[]
powerball-1997-01-29,,,,,,[]
powerball-1997-02-01,,,,,,[]
powerball-1997-02-05,,,,,,[]
powerball-1997-02-08,,,,,,[]
powerball-1997-02-12,,,,,,[]
powerball-1997-02-15,,,,,,[]
powerball-1997-02-19,,,,,,[]
powerball-1997-02-22,,,,,,[]
powerball-1997-02-26,,,,,,[]
powerball-1997-03-01,,,,,,[]
powerball-1997-03-05,,,,,,[]
powerball-1997-03-08,,,,,,[]
powerball-1997-03-12,,,,,,[]
powerball-1997-03-15,,,,,,[]
powerball-1997-03-19,,,,,,[]
powerball-1997-03-22,,,,,,[]
powerball-1997-03-26,,,,,,[]
powerball-1997-03-29,,,,,,[]
powerball-1997-04-02,,,,,,[]
powerball-1997-04-05,,,,,,[]
powerball-1997-04-09,,,,,,[]
powerball-1997-04-12,,,,,,[]
powerball-1997-04-16,,,,,,[]
powerball-1997-04-19,,,,,,[]
powerball-1997-04-23,,,,,,[]
powerball-1997-04-26,,,,,,[]
powerball-1997-04-30,,,,,,[]
powerball-1997-05-03,,,,,,[]
powerball-1997-05-07,,,,,,[]
powerball-1997-05-10,,,,,,[]
powerball-1997-05-14,,,,,,[]
powerball-1997-05-17,,,,,,[]
powerball-1997-05-21,,,,,,[]
powerball-1997-05-24,,,,,,[]
powerball-1997-05-28,,,,,,[]
powerball-1997-05-31,,,,,,[]
powerball-1997-06-04,,,,,,[]
powerball-1997-06-07,,,,,,[]
powerball-1997-06-11,,,,,,[]
powerball-1997-06-14,,,,,,[]
powerball-1997-06-18,,,,,,[]
powerball-1997-06-21,,,,,,[]
powerball-1997-06-25,,,,,,[]
powerball-1997-06-28,,,,,,[]
powerball-1997-07-02,,,,,,[]
powerball-1997-07-05,,,,,,[]
powerball-1997-07-09,,,,,,[]
powerball-1997-07-12,,,,,,[]
powerball-1997-07-16,,,,,,[]
powerball-1997-07-19,,,,,,[]
powerball-1997-07-23,,,,,,[]
powerball-1997-07-26,,,,,,[]
powerball-1997-07-30,,,,,,[]
powerball-1997-08-02,,,,,,[]
powerball-1997-08-06,,,,,,[]
powerball-1997-08-09,,,,,,[]
powerball-1997-08-13,,,,,,[]
powerball-1997-08-16,,,,,,[]
powerball-1997-08-20,,,,,,[]
powerball-1997-08-23,,,,,,[]
powerball-1997-08-27,,,,,,[]
powerball-1997-08-30,,,,,,[]
powerball-1997-09-03,,,,,,[]
powerball-1997-09-06,,,,,,[]
powerball-1997-09-10,,,,,,[]
powerball-1997-09-13,,,,,,[]
powerball-1997-09-17,,,,,,[]
powerball-1997-09-20,,,,,,[]
powerball-1997-09-24,,,,,,[]
powerball-1997-09-27,,,,,,[]
powerball-1997-10-01,,,,,,[]
powerball-1997-10-04,,,,,,[]
powerball-1997-10-08,,,,,,[]
powerball-1997-10-11,,,,,,[]
powerball-1997-10-15,,,,,,[]
powerball-1997-10-18,,,,,,[]
powerball-1997-10-22,,,,,,[]
powerball-1997-10-25,,,,,,[]
powerball-1997-10-29,,,,,,[]
powerball-1997-11-01,,,,,,[]
powerball-1997-11-05,,,,,,[]
powerball-1997-11-08,,,,,,[]
powerball-1997-11-12,,,,,,[]
powerball-1997-11-15,,,,,,[]
powerball-1997-11-19,,,,,,[]
powerball-1997-11-22,,,,,,[]
powerball-1997-11-26,,,,,,[]
powerball-1997-11-29,,,,,,[]
powerball-1997-12-03,,,,,,[]
powerball-1997-12-06,,,,,,[]
powerball-1997-12-10,,,,,,[]
powerball-1997-12-13,,,,,,[]
powerball-1997-12-17,,,,,,[]
powerball-1997-12-20,,,,,,[]
powerball-1997-12-24,,,,,,[]
powerball-1997-12-27,,,,,,[]
powerball-1997-12-31,,,,,,[]
powerball-1998-01-03,,,,,,[]
powerball-1998-01-07,,,,,,[]
powerball-1998-01-10,,,,,,[]
powerball-1998-01-14,,,,,,[]
powerball-1998-01-17,,,,,,[]
powerball-1998-01-21,,,,,,[]
powerball-1998-01-24,,,,,,[]
powerball-1998-01-28,,,,,,[]
powerball-1998-01-31,,,,,,[]
powerball-1998-02-04,,,,,,[]
powerball-1998-02-07,,,,,,[]
powerball-1998-02-11,,,,,,[]
powerball-1998-02-14,,,,,,[]
powerball-1998-02-18,,,,,,[]
powerball-1998-02-21,,,,,,[]
powerball-1998-02-25,,,,,,[]
powerball-1998-02-28,,,,,,[]
powerball-1998-03-04,,,,,,[]
powerball-1998-03-07,,,,,,[]
powerball-1998-03-11,,,,,,[]
powerball-1998-03-14,,,,,,[]
powerball-1998-03-18,,,,,,[]
powerball-1998-03-21,,,,,,[]
powerball-1998-03-25,,,,,,[]
powerball-1998-03-28,,,,,,[]
powerball-1998-04-01,,,,,,[]
powerball-1998-04-04,,,,,,[]
powerball-1998-04-08,,,,,,[]
powerball-1998-04-11,,,,,,[]
powerball-1998-04-15,,,,,,[]
powerball-1998-04-18,,,,,,[]
powerball-1998-04-22,,,,,,[]
powerball-1998-04-25,,,,,,[]
powerball-1998-04-29,,,,,,[]
powerball-1998-05-02,,,,,,[]
powerball-1998-05-06,,,,,,[]
powerball-1998-05-09,,,,,,[]
powerball-1998-05-13,,,,,,[]
powerball-1998-05-16,,,,,,[]
powerball-1998-05-20,,,,,,[]
powerball-1998-05-23,,,,,,[]
powerball-1998-05-27,,,,,,[]
powerball-1998-05-30,,,,,,[]
powerball-1998-06-03,,,,,,[]
powerball-1998-06-06,,,,,,[]
powerball-1998-06-10,,,,,,[]
powerball-1998-06-13,,,,,,[]
powerball-1998-06-17,,,,,,[]
powerball-1998-06-20,,,,,,[]
powerball-1998-06-24,,,,,,[]
powerball-1998-06-27,,,,,,[]
powerball-1998-07-01,,,,,,[]
powerball-1998-07-04,,,,,,[]
powerball-1998-07-08,,,,,,[]
powerball-1998-07-11,,,,,,[]
powerball-1998-07-15,,,,,,[]
powerball-1998-07-18,,,,,,[]
powerball-1998-07-22,,,,,,[]
powerball-1998-07-25,,,,,,[]
powerball-1998-07-29,,,,,,[]
powerball-1998-08-01,,,,,,[]
powerball-1998-08-05,,,,,,[]
powerball-1998-08-08,,,,,,[]
powerball-1998-08-12,,,,,,[]
powerball-1998-08-15,,,,,,[]
powerball-1998-08-19,,,,,,[]
powerball-1998-08-22,,,,,,[]
powerball-1998-08-26,,,,,,[]
powerball-1998-08-29,,,,,,[]
powerball-1998-09-02,,,,,,[]
powerball-1998-09-05,,,,,,[]
powerball-1998-09-09,,,,,,[]
powerball-1998-09-12,,,,,,[]
powerball-1998-09-16,,,,,,[]
powerball-1998-09-19,,,,,,[]
powerball-1998-09-23,,,,,,[]
powerball-1998-09-26,,,,,,[]
powerball-1998-09-30,,,,,,[]
powerball-1998-10-03,,,,,,[]
powerball-1998-10-07,,,,,,[]
powerball-1998-10-10,,,,,,[]
powerball-1998-10-14,,,,,,[]
powerball-1998-10-17,,,,,,[]
powerball-1998-10-21,,,,,,[]
powerball-1998-10-24,,,,,,[]
powerball-1998-10-28,,,,,,[]
powerball-1998-10-31,,,,,,[]
powerball-1998-11-04,,,,,,[]
powerball-1998-11-07,,,,,,[]
powerball-1998-11-11,,,,,,[]
powerball-1998-11-14,,,,,,[]
powerball-1998-11-18,,,,,,[]
powerball-1998-11-21,,,,,,[]
powerball-1998-11-25,,,,,,[]
powerball-1998-11-28,,,,,,[]
powerball-1998-12-02,,,,,,[]
powerball-1998-12-05,,,,,,[]
powerball-1998-12-09,,,,,,[]
powerball-1998-12-12,,,,,,[]
powerball-1998-12-16,,,,,,[]
powerball-1998-12-19,,,,,,[]
powerball-1998-12-23,,,,,,[]
powerball-1998-12-26,,,,,,[]
powerball-1998-12-30,,,,,,[]
powerball-1999-01-02,,,,,,[]
powerball-1999-01-06,,,,,,[]
powerball-1999-01-09,,,,,,[]
powerball-1999-01-13,,,,,,[]
powerball-1999-01-16,,,,,,[]
powerball-1999-01-20,,,,,,[]
powerball-1999-01-23,,,,,,[]
powerball-1999-01-27,,,,,,[]
powerball-1999-01-30,,,,,,[]
powerball-1999-02-03,,,,,,[]
powerball-1999-02-06,,,,,,[]
powerball-1999-02-10,,,,,,[]
powerball-1999-02-13,,,,,,[]
powerball-1999-02-17,,,,,,[]
powerball-1999-02-20,,,,,,[]
powerball-1999-02-24,,,,,,[]
powerball-1999-02-27,,,,,,[]
powerball-1999-03-03,,,,,,[]
powerball-1999-03-06,,,,,,[]
powerball-1999-03-10,,,,,,[]
powerball-1999-03-13,,,,,,[]
powerball-1999-03-17,,,,,,[]
powerball-1999-03-20,,,,,,[]
powerball-1999-03-24,,,,,,[]
powerball-1999-03-27,,,,,,[]
